time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
36491.460,wf-tool-heavy-0056,agent-shared,LLM_DISPATCH,38582.47905286649,,0.00247,GENERATE_TEXT,,,2091.0186105111206,,,,0.0,0.0,143,,,,,,,,,,,,,
36595.713,wf-chat-light-0011,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,129,,,,,,,,,,,,,
36595.713,wf-chat-light-0011,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,4,,,,0.011700000000000002,23117.332616737487,chat-light
36635.526,wf-tool-heavy-0057,agent-shared,AGENT_RECEIVE,,,,,,,,,,86,,,,,,,,86,1,,,,,,,
36635.526,wf-tool-heavy-0057,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.002585,CALL_TOOL,,,,agent-shared-infra-69,1.0416666666666667,,,,237,,0.0,,,,,,,,,,,
36636.568,wf-tool-heavy-0057,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-69,,,,,,,,,,,,,,,,,,
36636.568,wf-tool-heavy-0057,agent-shared,LLM_DISPATCH,40001.396458297175,,0.002585,CALL_TOOL,,,3364.8288475870113,,,,0.0,0.0,237,,,,,,,,,,,,,
37243.411,wf-chat-light-0015,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,170,,,,,,,,search-tool,,,,,
37243.411,wf-chat-light-0015,agent-shared,TOOL_DISPATCH,37399.798655284256,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,156.38806845097412,,,
37399.799,wf-chat-light-0015,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,947,4,,,,,,,
